#Character ID	Max Speakers	Gender	Age	Status	Comment	Reference	FCBH Character
centurion at crucifixion	1	Male	Adult			MAT 27:54 <-(1 more)-> LUK 23:47
centurion at Paul's flogging	1	Male	Adult			ACT 22:26	Centurion
centurion in the barracks	1	Male	Adult			ACT 23:18
centurion on ship with Paul	1	Male	Adult			ACT 27:43
centurion summoned by Pilate	1	Male	Adult			MRK 15:45	Officer
centurion with great faith	1	Male	Adult			MAT 8:5 <-(6 more)-> LUK 7:8
chariot commanders of Aram	-1	Male	Adult			1KI 22:32 & 2CH 18:31	Commander
chief baker of Egypt	1	Male	Adult			GEN 40:8 <-(1 more)-> GEN 40:17	Chief Baker
chief cupbearer of Egypt	1	Male	Adult			GEN 40:8 <-(7 more)-> GEN 41:13	Cupbearer
chief official	1	Male				DAN 1:10	Official
chief priests	-1	Male				2KI 19:3 <-(71 more)-> ACT 25:7
chiefs of 10 tribes	10	Male			not Reuben, Gad, half tribe of Manasseh	JOS 22:16 <-(4 more)-> JOS 22:32
children	-1		Child			MAT 21:15
children of excellent wife	-1		Child			PRO 31:28
children of God	-1	Either	Child		could be spoken by any age actor, but a child's voice might provide best dramatic effect	GAL 4:6
children of Zion (Jerusalem)	-1		Child			LAM 2:12 & LAM 4:4
citizens of Shechem	-1		Adult			JDG 9:3
city clerk of Ephesus	1	Male	Adult			ACT 19:35 <-(5 more)-> ACT 19:41
Claudius	1	Male	Adult			ACT 18:2
Cleopas	1	Male	Adult			LUK 24:18 <-(8 more)-> LUK 24:35
Cleopas' companion (on road to Emmaus)	1	Either	Adult			LUK 24:19 <-(7 more)-> LUK 24:35
collectors of temple tax	-1	Male	Adult			MAT 17:24	Tax Collector
commander of Roman troops in Jerusalem	1	Male	Adult			ACT 21:33 <-(17 more)-> ACT 23:30
commander of Yahweh's army	1	Male	Adult			JOS 5:14 & JOS 5:15	Angel
company of the prophets	-1		Adult			2KI 4:40 <-(3 more)-> 2KI 6:5
company of the prophets (Bethel)	-1		Adult			2KI 2:3
company of the prophets (Jericho)	-1		Adult			2KI 2:5 <-(1 more)-> 2KI 2:16
company of the prophets, one of (young man)	1	Male	YoungAdult			2KI 9:5 <-(4 more)-> 2KI 9:10	Prophet (young)
conquerors of beast, image & his name	-1		Adult			REV 15:3 & REV 15:4
conquerors of Lo Debar	-1	Male	Adult			AMO 6:13
Cornelius	1	Male	Adult			ACT 10:4 <-(4 more)-> ACT 10:48
